É|ÉCÉìÉgñº,ÉKÉXó ,éÛìd ìdóÕó ,ÉKÉXó ópìrA,ÉKÉXó ópìrB,ÉKÉXó ópìrC,ìdóÕó ópìrA,ìdóÕó ópìrB,ìdóÕó ópìrC,ìdóÕó ópìrD,äOãCâ∑
íPà ,m3,kWh,,,,,,,,Åé
2017/4/1 0:00,1,89,0.166666667,0.333333333,0.5,0.1,0.2,0.3,0.4,5.8
2017/4/1 1:00,2,85,0.333333333,0.666666667,1,0.2,0.4,0.6,0.8,5.7
2017/4/1 2:00,5,81,0.833333333,1.666666667,2.5,0.5,1,1.5,2,5.8
2017/4/1 3:00,1,94,0.166666667,0.333333333,0.5,0.1,0.2,0.3,0.4,5.9
2017/4/1 4:00,2,73,0.333333333,0.666666667,1,0.2,0.4,0.6,0.8,5.9
2017/4/1 5:00,4,82,0.666666667,1.333333333,2,0.4,0.8,1.2,1.6,6.3
2017/4/1 6:00,3,98,0.5,1,1.5,0.3,0.6,0.9,1.2,6.5
2017/4/1 7:00,22,140,3.666666667,7.333333333,11,2.2,4.4,6.6,8.8,7.2
2017/4/1 8:00,33.4,194,5.566666667,11.13333333,16.7,3.34,6.68,10.02,13.36,7.6
2017/4/1 9:00,28,205,4.666666667,9.333333333,14,2.8,5.6,8.4,11.2,8.6
2017/4/1 10:00,27.7,198,4.616666667,9.233333333,13.85,2.77,5.54,8.31,11.08,9.9
2017/4/1 11:00,32,209,5.333333333,10.66666667,16,3.2,6.4,9.6,12.8,10.6
2017/4/1 12:00,25.1,204,4.183333333,8.366666667,12.55,2.51,5.02,7.53,10.04,11.2
2017/4/1 13:00,26.7,201,4.45,8.9,13.35,2.67,5.34,8.01,10.68,11.3
2017/4/1 14:00,20.5,205,3.416666667,6.833333333,10.25,2.05,4.1,6.15,8.2,12.5
2017/4/1 15:00,22.8,213,3.8,7.6,11.4,2.28,4.56,6.84,9.12,11.5
2017/4/1 16:00,21.8,208,3.633333333,7.266666667,10.9,2.18,4.36,6.54,8.72,11.5
2017/4/1 17:00,8.5,171,1.416666667,2.833333333,4.25,0.85,1.7,2.55,3.4,11.2
2017/4/1 18:00,11.2,157,1.866666667,3.733333333,5.6,1.12,2.24,3.36,4.48,10
2017/4/1 19:00,12.4,144,2.066666667,4.133333333,6.2,1.24,2.48,3.72,4.96,8.9
2017/4/1 20:00,7.7,138,1.283333333,2.566666667,3.85,0.77,1.54,2.31,3.08,8.3
2017/4/1 21:00,15.6,135,2.6,5.2,7.8,1.56,3.12,4.68,6.24,7.7
2017/4/1 22:00,14.1,102,2.35,4.7,7.05,1.41,2.82,4.23,5.64,7.3
2017/4/1 23:00,1,103,0.166666667,0.333333333,0.5,0.1,0.2,0.3,0.4,6.8
2017/4/2 0:00,2,74,0.333333333,0.666666667,1,0.2,0.4,0.6,0.8,6.5
2017/4/2 1:00,0,74,0,0,0,0,0,0,0,6.6
2017/4/2 2:00,4,74,0.666666667,1.333333333,2,0.4,0.8,1.2,1.6,6
2017/4/2 3:00,5,78,0.833333333,1.666666667,2.5,0.5,1,1.5,2,6
2017/4/2 4:00,5,93,0.833333333,1.666666667,2.5,0.5,1,1.5,2,6.1
2017/4/2 5:00,1,75,0.166666667,0.333333333,0.5,0.1,0.2,0.3,0.4,5.2
