ポイント名,外気温,GHP-1     ｶﾞｽ量,GHP-1     1F 室内温度,GHP-1     ｶﾞｽ消費率,GHP-1     1F 運転状態
単位,℃,m3,℃,%,分
2017/4/1 0:00,5.8,0,21.5,0,0
2017/4/1 1:00,5.7,0,21,0,0
2017/4/1 2:00,5.8,0,21,0,0
2017/4/1 3:00,5.9,0,20.5,0,0
2017/4/1 4:00,5.9,0,20.5,0,0
2017/4/1 5:00,6.3,0,20.5,0,0
2017/4/1 6:00,6.5,0,20.5,0,0
2017/4/1 7:00,7.2,0,20.5,0,0
2017/4/1 8:00,7.6,0,20.5,0,0
2017/4/1 9:00,8.6,0,20.5,0,0
2017/4/1 10:00,9.9,0,20.5,0,0
2017/4/1 11:00,10.6,0,20.5,0,0
2017/4/1 12:00,11.2,0,20.5,0,0
2017/4/1 13:00,11.3,0,21.5,0,0
2017/4/1 14:00,12.5,0,21.5,0,0
2017/4/1 15:00,11.5,0,22,0,0
2017/4/1 16:00,11.5,0,21.5,0,0
2017/4/1 17:00,11.2,0,21.5,0,0
2017/4/1 18:00,10,0,20.5,0,0
2017/4/1 19:00,8.9,0,20,0,0
2017/4/1 20:00,8.3,0,19.5,0,0
2017/4/1 21:00,7.7,0,19.5,0,0
2017/4/1 22:00,7.3,0,20,0,0
2017/4/1 23:00,6.8,0,20,0,0
2017/4/2 0:00,6.5,0,20,0,0
2017/4/2 1:00,6.6,0,20.5,0,0
2017/4/2 2:00,6,0,20.5,0,0
2017/4/2 3:00,6,0,20.5,0,0
2017/4/2 4:00,6.1,0,20.5,0,0
2017/4/2 5:00,5.2,0,20.5,0,0
2017/4/2 6:00,6.4,0,20.5,0,0
2017/4/2 7:00,7.3,0,20.5,0,0
2017/4/2 8:00,9,0,20.5,0,0
2017/4/2 9:00,10.5,0,21,0,0
2017/4/2 10:00,12.5,0,21.5,0,0
2017/4/2 11:00,13.3,0,22,0,0
2017/4/2 12:00,15.3,0,22.5,0,0
2017/4/2 13:00,15.8,0,23,0,0
2017/4/2 14:00,15.7,0,23,0,0
2017/4/2 15:00,15,0,23,0,0
2017/4/2 16:00,14.3,0,22.5,0,0
2017/4/2 17:00,13,0,22,0,0
2017/4/2 18:00,11.2,0,21.5,0,0
2017/4/2 19:00,9.8,0,21.5,0,0
2017/4/2 20:00,9,0,21.5,0,0
2017/4/2 21:00,8.5,0,21.5,0,0
2017/4/2 22:00,8.4,0,21.5,0,0
2017/4/2 23:00,8.4,0,21.5,0,0
2017/4/3 0:00,7.6,0,21.5,0,0
2017/4/3 1:00,7.7,0,21.5,0,0
2017/4/3 2:00,6.8,0,21,0,0
2017/4/3 3:00,6.4,0,21,0,0
2017/4/3 4:00,6,0,21,0,0
